drop_file,min_distance_km,max_distance_km,note
D20230829_003946_PQC.nc,619.71,624.19,
D20230829_005238_PQC.nc,667.28,672.82,
D20230829_005910_PQC.nc,622.02,628.76,
D20230829_011424_PQC.nc,597.39,600.98,
D20230829_014532_PQC.nc,417.47,420.96,
D20230829_104919_PQC.nc,95.08,97.48,
D20230829_110228_PQC.nc,186.12,188.11,
D20230829_111354_PQC.nc,269.82,271.62,
D20230829_112355_PQC.nc,342.35,343.46,
D20230829_113001_PQC.nc,385.02,388.50,
D20230829_114833_PQC.nc,520.70,523.01,
D20230829_122741_PQC.nc,335.15,335.22,
D20230829_123201_PQC.nc,323.13,327.80,
D20230829_123932_PQC.nc,310.65,313.08,
D20230829_125050_PQC.nc,313.26,316.23,
D20230829_131043_PQC.nc,420.41,421.77,
D20230829_131935_PQC.nc,368.45,370.12,
D20230829_132846_PQC.nc,317.58,319.61,
D20230829_141602_PQC.nc,252.63,260.87,
D20230829_141758_PQC.nc,258.48,267.57,
D20230829_141934_PQC.nc,263.81,272.77,
D20230829_150941_PQC.nc,168.13,178.46,
D20230829_211025_PQC.nc,210.25,212.54,
D20230829_212441_PQC.nc,132.61,136.16,
D20230829_213704_PQC.nc,81.30,89.12,
D20230829_214016_PQC.nc,76.06,85.17,
D20230829_214048_PQC.nc,82.17,82.30,
D20230829_215812_PQC.nc,158.06,159.30,
D20230829_223526_PQC.nc,237.19,239.51,
D20230829_224827_PQC.nc,132.65,135.11,
D20230829_225754_PQC.nc,58.23,60.39,
D20230829_230101_PQC.nc,37.08,38.19,
D20230829_230358_PQC.nc,20.67,26.98,
D20230829_231340_PQC.nc,58.73,60.82,
D20230829_234840_PQC.nc,201.34,202.45,
D20230830_000243_PQC.nc,102.80,103.86,
D20230830_001436_PQC.nc,17.62,19.39,
D20230830_003047_PQC.nc,94.43,95.75,
D20230830_004655_PQC.nc,190.24,191.63,
D20230830_011911_PQC.nc,31.71,40.03,
D20230830_014837_PQC.nc,55.55,62.27,
